Index,Co,Cr,Ti,Mo,W,VEC,delta,entropy,han,Tm(K),omiga,AN,Aw,CH,DS,DC,DV,EN,EC,EI,EM,MP,NC,QN,RC,RM,TM,TN,BM,Hv30
first+13,0.210526316,0.210526316,0.210526316,0.052631579,0.315789474,6.210526316,5.886593628,12.49648961,-8.908587258,2542.736842,3.56681521,40.94736842,96.53810526,6.747368421,10956.84211,0.855789474,1.451578947,1.842105263,5.977894737,714.8263158,24.33684211,56.52631579,3.744736842,4.684210526,1.248947368,1.376,2566.947368,15.71578947,206.6736842,551.2
1s+29,0.05,0.05,0.3,0.3,0.3,5.55,3.619824611,8.496549749,-6.04,2746.7,3.863820066,43.95,103.84355,7.0305,11004.5,0.8965,1.5545,1.863,6.5955,704.43,26.405,54.65,3.6475,4.9,1.29,1.4116,2768.7,10.145,221.255,551.4
1s+25,0.15,0.05,0.2,0.3,0.3,6.05,4.624202303,9.290346569,-7.18,2730.2,3.532660752,44.45,104.95015,7.1065,11440.5,0.8765,1.4875,1.849,6.5495,714.47,26.155,55.95,3.7225,4.9,1.274,1.3906,2745.7,13.255,228.565,552.8
first+3,0.266666667,0.266666667,0.266666667,0,0.2,6.266666667,6.320484556,11.4674358,-12.37333333,2291.533333,2.123761697,34.26666667,79.1156,6.111333333,9349.333333,0.84,1.441333333,1.846,5.337333333,705.7866667,21.96,56.86666667,3.643333333,4.4,1.236,1.368,2322.2,16.05333333,182.1733333,555
2s+4,0.05,0.1,0.15,0.6,0.1,5.85,3.893587603,7.439962732,-3.72,2693.65,5.387273014,39.65,91.2753,6.688,9901,0.888,1.4875,1.908,6.339,689.84,26.035,55.65,3.5075,4.8,1.278,1.3987,2708.4,6.485,229.155,558.4
first+5,0.235294118,0.235294118,0.235294118,0,0.294117647,6.235294118,6.11291574,11.48403281,-10.29757785,2455.235294,2.738119883,38.94117647,91.43729412,6.551176471,10512.94118,0.849411765,1.448235294,1.839411765,5.756470588,713.3411765,23.49411765,56.64705882,3.726470588,4.588235294,1.243529412,1.372705882,2482.294118,16.32941176,197.3294118,560
1s+30,0.05,0.1,0.05,0.65,0.15,6.05,3.651525656,6.770919392,-1.82,2829,10.52468734,43.25,100.4781,7.0475,10920,0.888,1.4545,1.9085,6.64,696.785,27.305,56.1,3.5825,4.95,1.2755,1.3929,2837.25,6.925,246.925,561.4
first+6,0.222222222,0.222222222,0.222222222,0,0.333333333,6.222222222,6.009268768,11.38122051,-9.481481481,2523.444444,3.029049597,40.88888889,96.57133333,6.734444444,10997.77778,0.853333333,1.451111111,1.836666667,5.931111111,716.4888889,24.13333333,56.55555556,3.761111111,4.666666667,1.246666667,1.374666667,2549,16.44444444,203.6444444,576.6
2s+3,0.05,0.05,0.4,0.25,0.25,5.35,3.734654966,8.4192811,-7.09,2611.35,3.10094354,40.35,94.64075,6.671,9985.5,0.8965,1.5875,1.8625,6.2945,697.485,25.135,54.2,3.5725,4.75,1.2925,1.4174,2639.85,9.705,203.485,578.8
1s+9,0.1,0.15,0.6,0.1,0.05,5.1,5.540554787,8.073796027,-11.35,2129.25,1.514637021,27.4,61.1994,5.41,6676.5,0.879,1.6205,1.8715,5.091,675.55,20.61,53.9,3.345,4.2,1.279,1.4168,2175.75,9.025,148.86,580.7
1s+3,0.05,0.3,0.55,0.05,0.05,5.05,6.099644983,8.227330034,-9.04,2119.2,1.928690023,26.45,58.8618,5.3105,6572,0.879,1.5995,1.8955,4.903,668.405,20.605,53.9,3.3225,4.15,1.2675,1.4151,2169.95,7.195,145.305,591.7
2s+24,0.65,0.05,0.05,0.1,0.15,7.85,5.402877674,7.184544102,-6.15,2193.8,2.562837862,35.15,80.4711,6.3,10279.5,0.777,1.269,1.7735,5.318,742.49,20.635,60.85,3.8575,4.4,1.203,1.3061,2199.55,27.66,204.165,600.4
first+12,0.222222222,0.222222222,0.222222222,0.055555556,0.277777778,6.222222222,5.986052021,12.6298758,-9.62962963,2479.388889,3.251877273,39.11111111,91.68744444,6.575,10496.66667,0.852222222,1.448888889,1.845,5.815555556,711.7611111,23.74444444,56.61111111,3.711111111,4.611111111,1.246111111,1.374222222,2504.944444,15.56666667,200.8777778,604.6
2s+6,0.05,0.1,0.4,0.2,0.25,5.35,4.330487021,9.08832444,-7.27,2573.35,3.216979326,39.45,92.44355,6.5785,9834,0.8935,1.581,1.8655,6.1585,695.88,24.785,54.25,3.5675,4.7,1.287,1.4154,2604.35,9.73,198.425,606.8
1s+10,0.1,0.2,0.35,0.15,0.2,5.6,5.527691777,10.32159337,-8.94,2449.45,2.827989583,36.3,84.20695,6.288,9298,0.8765,1.5325,1.872,5.7595,693.435,23.61,55.05,3.55,4.55,1.2675,1.4005,2482.2,10.545,189.47,609.4
1s+16,0.05,0.2,0.3,0.2,0.25,5.55,5.053267602,9.805861065,-6.33,2593.05,4.016917541,39.65,92.85645,6.6095,10099,0.8865,1.533,1.8795,6.0835,695.36,25.005,54.85,3.5875,4.7,1.273,1.4052,2622.55,9.43,203.585,610.2
